companyName,website,email,phone,address,city,state,vertical,tier,tags,notes,source
Natural Grocers by Vitamin Cottage,https://naturalgrocers.com,procurement@naturalgrocers.com,,,Lakewood,CO,bigbox,A,tier-A|refrigerated|denver-batch-1|email-role-account,"HQ Lakewood, ~165 stores across 21 states. Refrigerated DC ops.",denver-batch-1
King Soopers (Kroger),https://kingsoopers.com,procurement@kingsoopers.com,,,Denver,CO,bigbox,A,tier-A|refrigerated|denver-batch-1|email-role-account,"Kroger subsidiary. Denver DC, refrigerated.",denver-batch-1
C.H. Robinson (Denver),https://chrobinson.com,dispatch@chrobinson.com,,,Denver,CO,brokers,A,tier-A|refrigerated|denver-batch-1|email-role-account,"Largest US freight broker, Denver office.",denver-batch-1
Schneider National (Denver),https://schneider.com,dispatch@schneider.com,,,Denver,CO,brokers,A,tier-A|refrigerated|denver-batch-1|email-role-account,"Mega-carrier, Denver ops.",denver-batch-1
Coyote Logistics (UPS),https://coyote.com,dispatch@coyote.com,,,Denver,CO,brokers,A,tier-A|refrigerated|denver-batch-1|email-role-account,"UPS brokerage arm, Denver office.",denver-batch-1
Echo Global Logistics,https://echo.com,dispatch@echo.com,,,Denver,CO,brokers,A,tier-A|refrigerated|denver-batch-1|email-role-account,Brokerage with Denver presence.,denver-batch-1
Estes Express Lines (Denver),https://estes-express.com,dispatch@estes-express.com,,,Commerce City,CO,brokers,A,tier-A|denver-batch-1|email-role-account,"National LTL, Denver terminal.",denver-batch-1
Old Dominion Freight Line (Denver),https://odfl.com,dispatch@odfl.com,,,Commerce City,CO,brokers,A,tier-A|denver-batch-1|email-role-account,"LTL national, Denver terminal.",denver-batch-1
Saia LTL Freight (Denver),https://saia.com,dispatch@saia.com,,,Aurora,CO,brokers,A,tier-A|denver-batch-1|email-role-account,"LTL national, Denver terminal.",denver-batch-1
ABF Freight (Denver),https://abf.com,dispatch@abf.com,,,Denver,CO,brokers,A,tier-A|denver-batch-1|email-role-account,"LTL national, Denver terminal.",denver-batch-1
XPO Logistics (Denver),https://xpo.com,dispatch@xpo.com,,,Denver,CO,brokers,A,tier-A|denver-batch-1|email-role-account,"LTL + brokerage, Denver office.",denver-batch-1
Landstar System (Denver),https://landstar.com,dispatch@landstar.com,,,Denver,CO,brokers,A,tier-A|denver-batch-1|email-role-account,BCO trucking network.,denver-batch-1
R&L Carriers (Denver),https://rlcarriers.com,dispatch@rlcarriers.com,,,Henderson,CO,brokers,A,tier-A|denver-batch-1|email-role-account,"LTL, Denver terminal.",denver-batch-1
FedEx Freight (Denver),https://fedex.com,dispatch@fedex.com,,,Denver,CO,brokers,A,tier-A|denver-batch-1|email-role-account,Denver LTL terminal.,denver-batch-1
YRC Freight / Yellow (Denver),https://myyellow.com,dispatch@myyellow.com,,,Denver,CO,brokers,A,tier-A|denver-batch-1|email-role-account,LTL.,denver-batch-1
Ferguson Plumbing Supply (Denver),https://ferguson.com,orders@ferguson.com,,,Denver,CO,construction,A,tier-A|denver-batch-1|email-role-account,"National plumbing + HVAC wholesaler, multiple Denver branches.",denver-batch-1
