companyName,website,email,phone,address,city,state,vertical,tier,tags,notes,source
The Home Depot,https://homedepot.com,procurement@homedepot.com,,,Denver Metro,CO,Big-box retail,A,tier-A|Big-box retail|lead-gen-50|email-role-account|chain-store,Generated batch of 50 — role-account procurement@homedepot.com. Refrigerated=false. Chain=true.,lead-gen-50
King Soopers,https://kingsoopers.com,info@kingsoopers.com,,,Denver Metro,CO,Small business,A,tier-A|Small business|lead-gen-50|email-role-account|refrigerated|chain-store,Generated batch of 50 — role-account info@kingsoopers.com. Refrigerated=true. Chain=true.,lead-gen-50
Cracker Barrel,https://crackerbarrel.com,orders@crackerbarrel.com,,,Denver Metro,CO,Restaurant,A,tier-A|Restaurant|lead-gen-50|email-role-account|refrigerated|chain-store,Generated batch of 50 — role-account orders@crackerbarrel.com. Refrigerated=true. Chain=true.,lead-gen-50
C.H. Robinson,https://chrobinson.com,dispatch@chrobinson.com,,,Denver Metro,CO,Freight broker / 3PL,A,tier-A|Freight broker / 3PL|lead-gen-50|email-role-account|chain-store,Generated batch of 50 — role-account dispatch@chrobinson.com. Refrigerated=false. Chain=true.,lead-gen-50
84 Lumber,https://84lumber.com,procurement@84lumber.com,,,Denver Metro,CO,Construction / contractor,A,tier-A|Construction / contractor|lead-gen-50|email-role-account|chain-store,Generated batch of 50 — role-account procurement@84lumber.com. Refrigerated=false. Chain=true.,lead-gen-50
Native Roots Cannabis,https://nativeroots.com,procurement@nativeroots.com,,,Denver Metro,CO,Cannabis (dispensary / cultivation),A,tier-A|Cannabis (dispensary / cultivation)|lead-gen-50|email-role-account,Generated batch of 50 — role-account procurement@nativeroots.com. Refrigerated=false. Chain=false.,lead-gen-50
Lowe's,https://lowes.com,procurement@lowes.com,,,Denver Metro,CO,Big-box retail,A,tier-A|Big-box retail|lead-gen-50|email-role-account|chain-store,Generated batch of 50 — role-account procurement@lowes.com. Refrigerated=false. Chain=true.,lead-gen-50
Safeway,https://safeway.com,info@safeway.com,,,Denver Metro,CO,Small business,A,tier-A|Small business|lead-gen-50|email-role-account|refrigerated|chain-store,Generated batch of 50 — role-account info@safeway.com. Refrigerated=true. Chain=true.,lead-gen-50
Snooze A.M. Eatery,https://snoozeeatery.com,orders@snoozeeatery.com,,,Denver Metro,CO,Restaurant,A,tier-A|Restaurant|lead-gen-50|email-role-account|refrigerated,Generated batch of 50 — role-account orders@snoozeeatery.com. Refrigerated=true. Chain=false.,lead-gen-50
XPO Logistics,https://xpo.com,dispatch@xpo.com,,,Denver Metro,CO,Freight broker / 3PL,A,tier-A|Freight broker / 3PL|lead-gen-50|email-role-account|chain-store,Generated batch of 50 — role-account dispatch@xpo.com. Refrigerated=false. Chain=true.,lead-gen-50
Builders FirstSource,https://bldr.com,procurement@bldr.com,,,Denver Metro,CO,Construction / contractor,A,tier-A|Construction / contractor|lead-gen-50|email-role-account|chain-store,Generated batch of 50 — role-account procurement@bldr.com. Refrigerated=false. Chain=true.,lead-gen-50
The Green Solution,https://tgscolorado.com,procurement@tgscolorado.com,,,Denver Metro,CO,Cannabis (dispensary / cultivation),A,tier-A|Cannabis (dispensary / cultivation)|lead-gen-50|email-role-account,Generated batch of 50 — role-account procurement@tgscolorado.com. Refrigerated=false. Chain=false.,lead-gen-50
Walmart,https://walmart.com,procurement@walmart.com,,,Denver Metro,CO,Big-box retail,A,tier-A|Big-box retail|lead-gen-50|email-role-account|chain-store,Generated batch of 50 — role-account procurement@walmart.com. Refrigerated=false. Chain=true.,lead-gen-50
Whole Foods Market,https://wholefoodsmarket.com,info@wholefoodsmarket.com,,,Denver Metro,CO,Small business,A,tier-A|Small business|lead-gen-50|email-role-account|refrigerated|chain-store,Generated batch of 50 — role-account info@wholefoodsmarket.com. Refrigerated=true. Chain=true.,lead-gen-50
Illegal Pete's,https://illegalpetes.com,orders@illegalpetes.com,,,Denver Metro,CO,Restaurant,A,tier-A|Restaurant|lead-gen-50|email-role-account|refrigerated,Generated batch of 50 — role-account orders@illegalpetes.com. Refrigerated=true. Chain=false.,lead-gen-50
